month,n_train,n_test,mae,rmse,mape,actual_mean,pred_mean
2018-09,51,18,26.248579061614734,34.53278068394908,inf,118.61111111111111,105.91511876536579
2018-10,73,22,93.4143956601848,140.14988302272246,46.94796643314374,174.9090909090909,81.49469524890613
2018-11,92,21,25.09123803347565,31.52512044773979,17.273463469633406,141.71428571428572,129.0915960767239
2018-12,114,20,48.15325037774893,100.94267269324469,inf,135.75,150.39621727954085
2019-01,135,21,135.62431056204218,190.34491320698675,inf,20.047619047619047,143.2703407833913
2019-02,153,19,69.75699952174998,77.65827687357763,54.54713710069164,128.0,74.24218374518523
2019-03,175,20,60.69655681863544,84.65822932063743,48.334679233521314,133.75,182.83600406368802
2019-04,195,20,23.02913576334812,28.596106983569836,13.290460142921384,164.75,141.72086423665186
2019-05,216,19,15.860940743753824,19.47623966249901,9.79956691787602,159.52631578947367,151.85115347583718
2019-06,231,20,16.91225163259169,20.93528817355792,11.472853177974578,156.05,160.33556960290633
2019-07,254,22,57.14391297271757,67.61680975753856,24.377589686126832,219.63636363636363,163.52448417617026
2019-08,274,21,102.45085423711969,128.52715636498874,39.091780448176394,256.4761904761905,183.86778501692342
2019-09,295,19,250.99291844134748,269.3731111139693,48.3662073744978,502.42105263157896,251.42813419023145
2019-10,317,21,69.00623457964952,82.83702503925332,inf,292.4761904761905,295.0299150123311
2019-11,335,20,96.2419985211076,114.98171073087964,inf,220.35,206.88334615036956
