week,n_train,n_test,mae,rmse,mape,actual_mean,pred_mean
2018-32,40,5,18.251976782201027,22.432776106276652,17.814680892678545,119.8,132.18440820110953
2018-33,45,5,71.57492144738566,77.9210200797371,111.07673897760502,77.8,149.37492144738567
2018-34,50,5,25.393928305095443,33.07628577914534,23.661922244695788,99.8,91.24186090701768
2018-35,55,5,49.47031960327364,52.049988446652,inf,101.6,78.35172666065411
2018-36,60,5,49.50767631905015,62.176232881761905,inf,98.2,103.84579887406771
2018-37,65,5,19.10841071691113,23.98630645089107,15.317662848540861,127.8,119.88261629186414
2018-38,70,4,80.02511456619897,81.88012124950161,65.98992051532385,122.25,42.224885433801035
2018-39,74,4,9.984877181293566,13.290121421241713,7.32434900217061,129.0,120.20319075529925
2018-40,78,5,21.570652134494676,24.361927430189642,15.564386731674485,142.6,132.83432855166524
2018-41,83,4,14.78729105960468,16.576404683769915,10.051762725506453,142.75,131.75713693724754
2018-42,87,5,25.145264980244697,28.126084171538672,15.877940649417937,153.6,128.4547350197553
2018-43,92,5,130.95509340485177,211.4900499365038,36.25241033134869,252.0,143.24760272480006
2018-44,97,5,38.52716860502027,50.73256571670177,25.86106950665032,168.2,160.75916573049724
2018-45,102,5,22.754293820467844,24.64683661646032,15.41665529374921,142.8,122.76919065731416
2018-46,107,5,18.74588000502106,21.438045722757536,14.150344512211888,134.0,130.93208027969635
2018-47,112,4,7.7967192535830385,8.031071404843916,6.226761866679332,128.0,128.91654793968507
2018-48,116,5,29.26440301128347,34.45994470480264,18.381763606585004,155.0,145.44598620859279
2018-49,121,5,36.4320723102518,38.493542793844966,20.773550634382467,171.2,134.7679276897482
2018-50,126,5,106.37766556243132,192.26620920602457,72.57513227392398,151.8,237.04577089328063
2018-51,131,5,20.025508291556786,26.55222902630754,17.953019566395692,126.2,146.2255082915568
2018-52,136,4,17.287015180961667,22.241550334612857,14.34979637721529,117.25,114.97971843245534
2018-01,140,1,114.92207566305568,114.92207566305568,,0.0,114.92207566305568
2019-01,141,5,37.50680221028347,41.023732606628634,inf,31.4,68.90680221028347
2019-02,146,5,91.9491745868728,98.44636775102268,inf,63.0,72.32829784973825
2019-03,151,4,126.36639478043469,131.84628407109685,,0.0,126.36639478043469
2019-04,155,5,5.4173128514433175,8.887574048089107,,0.0,4.689182652804317
2019-05,160,5,1.784138153650358,2.3352671669379927,inf,35.8,35.640158826802384
2019-06,165,5,37.84158135794976,38.98098257759613,33.63481322663905,117.8,155.64158135794975
2019-07,170,4,27.82255883052079,33.25578531268395,20.540588516665174,126.5,102.26637576745594
2019-08,174,5,209.26891155284412,260.93035297477866,173.99029055137524,125.0,334.2689115528441
